Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/sports/nascar-star-bubba-wallace-praises-own-maturity-not-punching-something-frustrating-race,207.759765625,320,text/html
https://www.foxnews.com/sports/denny-hamlin-says-chase-elliott-shouldnt-be-racing-unacceptable-move-coca-cola-600,207.65625,323,text/html
https://www.foxnews.com/video/6320778350112,64.326171875,79,text/html
https://www.foxnews.com/person/r/gabriele-regalbuto,112.0810546875,348,text/html
https://www.foxnews.com/sports/kyle-larson-starts-nascar-playoffs-win-darlington,216.6572265625,319,text/html
https://www.foxnews.com/category/person/tom-brady,118.1025390625,352,text/html
https://www.foxnews.com/sports/ex-nascar-star-danica-patrick-takes-heat-scathing-message-martin-truex-jr-death-sherry-pollex,213.5859375,323,text/html
https://www.foxnews.com/sports/tyler-reddick-takes-advantage-late-caution-pick-up-critical-win-kansas,216.6435546875,319,text/html
https://www.foxnews.com/sports/bubba-wallace-pushes-back-darfs-making-next-round-nascar-playoffs-pole-texas-race.amp,127.9560546875,185,text/html
https://www.foxnews.com/sports/bubba-wallace-takes-swipe-critics-makes-nascar-playoffs-first-time,207.7236328125,321,text/html
https://www.foxnews.com/sports/denny-hamlin-faces-boos-bristol-win-nascar-star-delivers-terse-response.amp,128.234375,184,text/html
https://www.foxnews.com/sports/dale-earnhardt-jr-forced-out-car-catches-fire-uniform-burned-hole-in-my-pants,205.728515625,321,text/html
https://www.foxnews.com/sports/history-nascar-cup-series.amp,131.1572265625,184,text/html
https://www.foxnews.com/sports/dale-earnhardt-died-22-years-ago-toda-he-everything-great-about-nascar,210.4599609375,323,text/html
https://www.foxnews.com/person/m/ashlyn-messier,107.3818359375,346,text/html
https://www.foxnews.com/video/6337553434112,63.9482421875,80,text/html
https://www.foxnews.com/sports/2023-daytona-500-starts-nascar-season-heres-what-know-race,213.0205078125,321,text/html
https://www.foxnews.com/lifestyle/meet-american-who-created-nascar-daytona-bill-france-daytona-racetrack-pioneer,297.2568359375,330,text/html
https://www.foxnews.com/video/6343883237112,63.134765625,80,text/html
https://www.foxnews.com/video/6344188546112,61.46484375,77,text/html
https://www.foxnews.com/video/6344216365112,62.529296875,76,text/html
